127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/js/calendar.js, HTTP/1.1, 304, 0.097396
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/js/web2py.js, HTTP/1.1, 304, 0.016954
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.103173
127.0.0.1, 2016-10-14 16:25:19, GET, /PlanIt/default/user/request_reset_password, HTTP/1.1, 200, 0.018321
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/default/user/request_reset_password, HTTP/1.1, 200, 0.046611
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003452
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 304, 0.002392
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 304, 0.001596
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002837
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003921
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/js/jquery.js, HTTP/1.1, 304, 0.001178
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/js/calendar.js, HTTP/1.1, 304, 0.001161
127.0.0.1, 2016-10-14 16:25:20, GET, /PlanIt/static/js/web2py.js, HTTP/1.1, 304, 0.000845
127.0.0.1, 2016-10-14 16:25:24, GET, /PlanIt/, HTTP/1.1, 303, 0.026314
127.0.0.1, 2016-10-14 16:25:24, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.022635
127.0.0.1, 2016-10-14 16:26:41, GET, /PlanIt/default/user/request_reset_password, HTTP/1.1, 200, 0.049486
127.0.0.1, 2016-10-14 16:26:41, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 304, 0.007246
127.0.0.1, 2016-10-14 16:26:43, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.186336
127.0.0.1, 2016-10-14 16:27:01, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.041887
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.044996
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 304, 0.072826
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.081724
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.086779
